learning_rate,train_F1,test_F1
0.169,0.9544529660353733,0.95
0.17,0.9544672195274605,0.95
0.171,0.9544672195274605,0.95
0.172,0.9544672195274605,0.95
0.173,0.9544672195274605,0.95
0.174,0.9544672195274605,0.95
0.175,0.9544529660353733,0.95
0.176,0.9544529660353733,0.95
0.177,0.9544529660353733,0.95
0.178,0.9547660040694944,0.95
0.179,0.9547660040694944,0.95
0.18,0.9547518396743385,0.95
0.181,0.9545881616035077,0.95
0.182,0.9545881616035077,0.95
0.183,0.9547518396743385,0.95
0.184,0.954915466499687,0.9505941213258287
0.185,0.954915466499687,0.9505941213258287
0.186,0.9550649757319556,0.9505941213258287
0.187,0.9550649757319556,0.9505941213258287
0.188,0.9550790421036156,0.9505941213258287
0.189,0.9552285535378835,0.9505941213258287
0.19,0.9552285535378835,0.9505941213258287
0.191,0.9552285535378835,0.9505941213258287
0.192,0.9550790421036156,0.9505941213258287
0.193,0.9550790421036156,0.9505941213258287
0.194,0.9550790421036156,0.9505941213258287
0.195,0.9550790421036156,0.9505941213258287
0.196,0.9552285535378835,0.9505941213258287
0.197,0.9552285535378835,0.9505941213258287
0.198,0.9552285535378835,0.95
0.199,0.9550790421036156,0.95
0.2,0.9550790421036156,0.95
0.201,0.9550790421036156,0.9505941213258287
0.202,0.9550790421036156,0.951188986232791
0.203,0.9549295774647887,0.951188986232791
0.204,0.9547801595994367,0.951188986232791
0.205,0.9547801595994367,0.951188986232791
0.206,0.9547801595994367,0.951188986232791
0.207,0.9547801595994367,0.951188986232791
0.208,0.9549295774647887,0.951188986232791
0.209,0.9550790421036156,0.951188986232791
0.21,0.9552425665101721,0.951188986232791
0.211,0.9552425665101721,0.951188986232791
0.212,0.9552425665101721,0.951188986232791
0.213,0.9552565707133918,0.951188986232791
0.214,0.9554060397433891,0.9518449030644153
0.215,0.9552565707133918,0.9524405506883604
0.216,0.9552565707133918,0.9524405506883604
0.217,0.955270566155771,0.9524405506883604
0.218,0.9554199906147348,0.9524405506883604
0.219,0.9555694618272841,0.9524405506883604
0.22,0.9558823529411765,0.9524405506883604
0.221,0.9558961526431029,0.9524405506883604
0.222,0.9562089458867689,0.9524405506883604
0.223,0.9562089458867689,0.9530369442705072
0.224,0.9562089458867689,0.9543464665415885
0.225,0.9563721657544957,0.9543464665415885
0.226,0.9563721657544957,0.9543464665415885
